district,district_pcode,date,value
#adm2+name,#adm2+code,#date,#value+funding
Gasabo,SIM-GAS,2023-01-01,39.37
Gasabo,SIM-GAS,2023-02-01,45.24
Gasabo,SIM-GAS,2023-03-01,41.16
Gasabo,SIM-GAS,2023-04-01,42.91
Gasabo,SIM-GAS,2023-05-01,42.05
Gasabo,SIM-GAS,2023-06-01,40.24
Gasabo,SIM-GAS,2023-07-01,31.73
Gasabo,SIM-GAS,2023-08-01,36.77
Gasabo,SIM-GAS,2023-09-01,34.65
Gasabo,SIM-GAS,2023-10-01,34.69
Gasabo,SIM-GAS,2023-11-01,36.7
Gasabo,SIM-GAS,2023-12-01,34.33
Gasabo,SIM-GAS,2024-01-01,42.41
Gasabo,SIM-GAS,2024-02-01,45.43
Gasabo,SIM-GAS,2024-03-01,43.53
Gasabo,SIM-GAS,2024-04-01,41.66
Gasabo,SIM-GAS,2024-05-01,41.12
Gasabo,SIM-GAS,2024-06-01,42.86
Gasabo,SIM-GAS,2024-07-01,40.51
Gasabo,SIM-GAS,2024-08-01,37.77
Gasabo,SIM-GAS,2024-09-01,36.71
Gasabo,SIM-GAS,2024-10-01,41.53
Gasabo,SIM-GAS,2024-11-01,42.44
Gasabo,SIM-GAS,2024-12-01,42.95
Kicukiro,SIM-KIC,2023-01-01,62.81
Kicukiro,SIM-KIC,2023-02-01,66.77
Kicukiro,SIM-KIC,2023-03-01,69.78
Kicukiro,SIM-KIC,2023-04-01,67.85
Kicukiro,SIM-KIC,2023-05-01,64.42
Kicukiro,SIM-KIC,2023-06-01,61.97
Kicukiro,SIM-KIC,2023-07-01,61.11
Kicukiro,SIM-KIC,2023-08-01,62.24
Kicukiro,SIM-KIC,2023-09-01,58.5
Kicukiro,SIM-KIC,2023-10-01,60.14
Kicukiro,SIM-KIC,2023-11-01,59.37
Kicukiro,SIM-KIC,2023-12-01,59.57
Kicukiro,SIM-KIC,2024-01-01,63.07
Kicukiro,SIM-KIC,2024-02-01,64.24
Kicukiro,SIM-KIC,2024-03-01,61.55
Kicukiro,SIM-KIC,2024-04-01,62.45
Kicukiro,SIM-KIC,2024-05-01,64.39
Kicukiro,SIM-KIC,2024-06-01,59.44
Kicukiro,SIM-KIC,2024-07-01,60.05
Kicukiro,SIM-KIC,2024-08-01,61.21
Kicukiro,SIM-KIC,2024-09-01,57.56
Kicukiro,SIM-KIC,2024-10-01,59.18
Kicukiro,SIM-KIC,2024-11-01,59.33
Kicukiro,SIM-KIC,2024-12-01,63.66
Nyarugenge,SIM-NYA,2023-01-01,63.59
Nyarugenge,SIM-NYA,2023-02-01,65.89
Nyarugenge,SIM-NYA,2023-03-01,67.78
Nyarugenge,SIM-NYA,2023-04-01,62.14
Nyarugenge,SIM-NYA,2023-05-01,62.4
Nyarugenge,SIM-NYA,2023-06-01,61.33
Nyarugenge,SIM-NYA,2023-07-01,57.04
Nyarugenge,SIM-NYA,2023-08-01,56.77
Nyarugenge,SIM-NYA,2023-09-01,58.43
Nyarugenge,SIM-NYA,2023-10-01,57.31
Nyarugenge,SIM-NYA,2023-11-01,57.89
