date,province,district,district_pcode,indicator,value,feature_1,feature_2,outcome
2023-01-01,Kigali City,Gasabo,SIM-GAS,sample_wellbeing_index,39.37,82.01,19.22,1
2023-02-01,Kigali City,Gasabo,SIM-GAS,sample_wellbeing_index,45.24,49.99,17.62,1
2023-03-01,Kigali City,Gasabo,SIM-GAS,sample_wellbeing_index,41.16,46.66,19.93,0
2023-04-01,Kigali City,Gasabo,SIM-GAS,sample_wellbeing_index,42.91,49.17,20.35,0
2023-05-01,Kigali City,Gasabo,SIM-GAS,sample_wellbeing_index,42.05,51.04,20.35,0
2023-06-01,Kigali City,Gasabo,SIM-GAS,sample_wellbeing_index,40.24,61.77,12.82,1
2023-07-01,Kigali City,Gasabo,SIM-GAS,sample_wellbeing_index,31.73,48.31,8.75,1
2023-08-01,Kigali City,Gasabo,SIM-GAS,sample_wellbeing_index,36.77,56.0,23.48,0
2023-09-01,Kigali City,Gasabo,SIM-GAS,sample_wellbeing_index,34.65,32.7,26.71,0
2023-10-01,Kigali City,Gasabo,SIM-GAS,sample_wellbeing_index,34.69,28.23,16.8,0
2023-11-01,Kigali City,Gasabo,SIM-GAS,sample_wellbeing_index,36.7,65.7,29.54,0
2023-12-01,Kigali City,Gasabo,SIM-GAS,sample_wellbeing_index,34.33,56.85,21.07,1
2024-01-01,Kigali City,Gasabo,SIM-GAS,sample_wellbeing_index,42.41,50.72,18.27,1
2024-02-01,Kigali City,Gasabo,SIM-GAS,sample_wellbeing_index,45.43,33.35,26.13,0
2024-03-01,Kigali City,Gasabo,SIM-GAS,sample_wellbeing_index,43.53,42.36,28.36,0
2024-04-01,Kigali City,Gasabo,SIM-GAS,sample_wellbeing_index,41.66,49.56,13.52,0
2024-05-01,Kigali City,Gasabo,SIM-GAS,sample_wellbeing_index,41.12,44.88,13.39,0
2024-06-01,Kigali City,Gasabo,SIM-GAS,sample_wellbeing_index,42.86,56.27,6.53,1
2024-07-01,Kigali City,Gasabo,SIM-GAS,sample_wellbeing_index,40.51,52.54,25.21,1
2024-08-01,Kigali City,Gasabo,SIM-GAS,sample_wellbeing_index,37.77,56.3,27.18,0
2024-09-01,Kigali City,Gasabo,SIM-GAS,sample_wellbeing_index,36.71,54.54,17.26,1
2024-10-01,Kigali City,Gasabo,SIM-GAS,sample_wellbeing_index,41.53,44.92,29.58,0
2024-11-01,Kigali City,Gasabo,SIM-GAS,sample_wellbeing_index,42.44,55.65,14.47,0
2024-12-01,Kigali City,Gasabo,SIM-GAS,sample_wellbeing_index,42.95,43.3,25.77,0
2023-01-01,Northern,Gicumbi,SIM-GIC,sample_wellbeing_index,65.32,40.79,31.28,0
2023-02-01,Northern,Gicumbi,SIM-GIC,sample_wellbeing_index,67.52,52.16,32.23,0
2023-03-01,Northern,Gicumbi,SIM-GIC,sample_wellbeing_index,65.45,42.22,12.22,1
2023-04-01,Northern,Gicumbi,SIM-GIC,sample_wellbeing_index,66.69,46.98,15.79,1
2023-05-01,Northern,Gicumbi,SIM-GIC,sample_wellbeing_index,66.8,57.52,23.85,1
