district_pcode,date,indicator,outcome
SIM-GAS,2023-01-01,sample_wellbeing_index,1
SIM-GAS,2023-02-01,sample_wellbeing_index,1
SIM-GAS,2023-03-01,sample_wellbeing_index,0
SIM-GAS,2023-04-01,sample_wellbeing_index,0
SIM-GAS,2023-05-01,sample_wellbeing_index,0
SIM-GAS,2023-06-01,sample_wellbeing_index,1
SIM-GAS,2023-07-01,sample_wellbeing_index,1
SIM-GAS,2023-08-01,sample_wellbeing_index,0
SIM-GAS,2023-09-01,sample_wellbeing_index,0
SIM-GAS,2023-10-01,sample_wellbeing_index,0
SIM-GAS,2023-11-01,sample_wellbeing_index,0
SIM-GAS,2023-12-01,sample_wellbeing_index,1
SIM-GAS,2024-01-01,sample_wellbeing_index,1
SIM-GAS,2024-02-01,sample_wellbeing_index,0
SIM-GAS,2024-03-01,sample_wellbeing_index,0
SIM-GAS,2024-04-01,sample_wellbeing_index,0
SIM-GAS,2024-05-01,sample_wellbeing_index,0
SIM-GAS,2024-06-01,sample_wellbeing_index,1
SIM-GAS,2024-07-01,sample_wellbeing_index,1
SIM-GAS,2024-08-01,sample_wellbeing_index,0
SIM-GAS,2024-09-01,sample_wellbeing_index,1
SIM-GAS,2024-10-01,sample_wellbeing_index,0
SIM-GAS,2024-11-01,sample_wellbeing_index,0
SIM-GAS,2024-12-01,sample_wellbeing_index,0
SIM-KIC,2023-01-01,sample_wellbeing_index,0
SIM-KIC,2023-02-01,sample_wellbeing_index,0
SIM-KIC,2023-03-01,sample_wellbeing_index,1
SIM-KIC,2023-04-01,sample_wellbeing_index,1
SIM-KIC,2023-05-01,sample_wellbeing_index,1
SIM-KIC,2023-06-01,sample_wellbeing_index,0
SIM-KIC,2023-07-01,sample_wellbeing_index,1
SIM-KIC,2023-08-01,sample_wellbeing_index,1
SIM-KIC,2023-09-01,sample_wellbeing_index,0
SIM-KIC,2023-10-01,sample_wellbeing_index,1
SIM-KIC,2023-11-01,sample_wellbeing_index,0
SIM-KIC,2023-12-01,sample_wellbeing_index,0
SIM-KIC,2024-01-01,sample_wellbeing_index,0
SIM-KIC,2024-02-01,sample_wellbeing_index,1
SIM-KIC,2024-03-01,sample_wellbeing_index,1
SIM-KIC,2024-04-01,sample_wellbeing_index,0
SIM-KIC,2024-05-01,sample_wellbeing_index,1
SIM-KIC,2024-06-01,sample_wellbeing_index,0
SIM-KIC,2024-07-01,sample_wellbeing_index,1
SIM-KIC,2024-08-01,sample_wellbeing_index,1
SIM-KIC,2024-09-01,sample_wellbeing_index,1
SIM-KIC,2024-10-01,sample_wellbeing_index,0
SIM-KIC,2024-11-01,sample_wellbeing_index,1
SIM-KIC,2024-12-01,sample_wellbeing_index,1
SIM-NYA,2023-01-01,sample_wellbeing_index,1
SIM-NYA,2023-02-01,sample_wellbeing_index,1
SIM-NYA,2023-03-01,sample_wellbeing_index,0
SIM-NYA,2023-04-01,sample_wellbeing_index,1
SIM-NYA,2023-05-01,sample_wellbeing_index,0
SIM-NYA,2023-06-01,sample_wellbeing_index,0
SIM-NYA,2023-07-01,sample_wellbeing_index,0
SIM-NYA,2023-08-01,sample_wellbeing_index,0
SIM-NYA,2023-09-01,sample_wellbeing_index,1
SIM-NYA,2023-10-01,sample_wellbeing_index,1
SIM-NYA,2023-11-01,sample_wellbeing_index,0
SIM-NYA,2023-12-01,sample_wellbeing_index,1
SIM-NYA,2024-01-01,sample_wellbeing_index,1
SIM-NYA,2024-02-01,sample_wellbeing_index,1
SIM-NYA,2024-03-01,sample_wellbeing_index,1
SIM-NYA,2024-04-01,sample_wellbeing_index,1
SIM-NYA,2024-05-01,sample_wellbeing_index,0
SIM-NYA,2024-06-01,sample_wellbeing_index,0
SIM-NYA,2024-07-01,sample_wellbeing_index,1
SIM-NYA,2024-08-01,sample_wellbeing_index,1
SIM-NYA,2024-09-01,sample_wellbeing_index,0
SIM-NYA,2024-10-01,sample_wellbeing_index,0
SIM-NYA,2024-11-01,sample_wellbeing_index,0
SIM-NYA,2024-12-01,sample_wellbeing_index,0
SIM-MUS,2023-01-01,sample_wellbeing_index,0
SIM-MUS,2023-02-01,sample_wellbeing_index,1
SIM-MUS,2023-03-01,sample_wellbeing_index,1
SIM-MUS,2023-04-01,sample_wellbeing_index,0
