reg,rev,date
Gasabo,39.37,01/01/2023
Gasabo,45.24,01/02/2023
Gasabo,41.16,01/03/2023
Gasabo,42.91,01/04/2023
Gasabo,42.05,01/05/2023
Gasabo,40.24,01/06/2023
Gasabo,31.73,01/07/2023
Gasabo,36.77,01/08/2023
Gasabo,34.65,01/09/2023
Gasabo,34.69,01/10/2023
Gasabo,36.7,01/11/2023
Gasabo,34.33,01/12/2023
Gasabo,42.41,01/01/2024
Gasabo,45.43,01/02/2024
Gasabo,43.53,01/03/2024
Gasabo,41.66,01/04/2024
Gasabo,41.12,01/05/2024
Gasabo,42.86,01/06/2024
Gasabo,40.51,01/07/2024
Gasabo,37.77,01/08/2024
Gasabo,36.71,01/09/2024
Gasabo,41.53,01/10/2024
Gasabo,42.44,01/11/2024
Gasabo,42.95,01/12/2024
Kicukiro,62.81,01/01/2023
Kicukiro,66.77,01/02/2023
Kicukiro,69.78,01/03/2023
Kicukiro,67.85,01/04/2023
Kicukiro,64.42,01/05/2023
Kicukiro,61.97,01/06/2023
Kicukiro,61.11,01/07/2023
Kicukiro,62.24,01/08/2023
Kicukiro,58.5,01/09/2023
Kicukiro,60.14,01/10/2023
Kicukiro,59.37,01/11/2023
Kicukiro,59.57,01/12/2023
Kicukiro,63.07,01/01/2024
Kicukiro,64.24,01/02/2024
Kicukiro,61.55,01/03/2024
Kicukiro,62.45,01/04/2024
Kicukiro,64.39,01/05/2024
Kicukiro,59.44,01/06/2024
Kicukiro,60.05,01/07/2024
Kicukiro,61.21,01/08/2024
Kicukiro,57.56,01/09/2024
Kicukiro,59.18,01/10/2024
Kicukiro,59.33,01/11/2024
Kicukiro,63.66,01/12/2024
Nyarugenge,63.59,01/01/2023
Nyarugenge,65.89,01/02/2023
Nyarugenge,67.78,01/03/2023
Nyarugenge,62.14,01/04/2023
Nyarugenge Dist.,62.4,01/05/2023
Nyarugenge,61.33,01/06/2023
Nyarugenge,57.04,01/07/2023
Nyarugenge,56.77,01/08/2023
Nyarugenge,58.43,01/09/2023
Nyarugenge,57.31,01/10/2023
Nyarugenge,57.89,01/11/2023
Nyarugenge,59.42,01/12/2023
Nyarugenge,61.07,01/01/2024
Nyarugenge,65.45,01/02/2024
Nyarugenge,62.32,01/03/2024
Nyarugenge,68.41,01/04/2024
Nyarugenge,62.39,01/05/2024
Nyarugenge,59.83,01/06/2024
Nyarugenge,59.11,01/07/2024
